                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.75382,                0.55289,                 1.1401,                0.58349,                0.29484,                0.30181,                0.20981,                  2.061,                 2.7514,                 2.4374,               0.001288,               0.001288,               0.001288
                     91,                 0.6917,                0.47449,                 1.0753,                0.52235,                 0.2973,                0.29754,                 0.2109,                 2.0638,                 2.7403,                 2.4252,               0.001189,               0.001189,               0.001189
                     92,                0.66987,                0.45123,                 1.0595,                 0.5123,                0.30958,                0.30291,                0.21315,                 2.0729,                  2.735,                 2.4224,                0.00109,                0.00109,                0.00109
                     93,                0.66418,                0.44131,                 1.0568,                0.50289,                0.30325,                0.30243,                0.21544,                 2.0589,                 2.7691,                 2.4083,               0.000991,               0.000991,               0.000991
                     94,                0.65663,                0.43679,                 1.0453,                0.50965,                0.30958,                0.30077,                0.21279,                 2.0579,                 2.7785,                 2.4028,               0.000892,               0.000892,               0.000892
                     95,                0.65155,                  0.432,                 1.0464,                 0.5117,                0.30467,                0.29987,                0.21471,                 2.0649,                 2.7749,                 2.4031,               0.000793,               0.000793,               0.000793
                     96,                0.64426,                0.42441,                 1.0457,                0.51341,                0.29238,                0.29848,                 0.2148,                 2.0714,                 2.7845,                 2.4119,               0.000694,               0.000694,               0.000694
                     97,                0.63649,                0.41904,                 1.0385,                0.50888,                0.29023,                0.29542,                0.21448,                 2.0751,                 2.7984,                 2.4323,               0.000595,               0.000595,               0.000595
                     98,                0.63512,                0.41629,                 1.0366,                0.51528,                0.29238,                0.29711,                0.21479,                 2.0789,                 2.7719,                  2.447,               0.000496,               0.000496,               0.000496
                     99,                0.62624,                0.41234,                  1.033,                0.53501,                0.28993,                0.29802,                0.21543,                 2.0852,                 2.7448,                 2.4581,               0.000397,               0.000397,               0.000397
                    100,                 0.6273,                0.41258,                 1.0303,                0.53989,                0.28542,                0.29846,                0.21465,                 2.0871,                 2.7446,                 2.4605,               0.000298,               0.000298,               0.000298
